epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.4269,1.92423,5.49176,0.71985,1.97726,2.48054,0.87603,0.86367,0.91112,0.54711,0.04565,0.05556,0.00379,0.00059,1.2987,5.42285,0.6754,0.89644,1.91396,0.00038,0.00038,0.00038
2,66.4409,1.10665,4.57493,0.66917,0.66137,1.51296,0.93585,0.83333,0.93083,0.61012,0.08079,0.06667,0.00799,0.0011,1.0931,5.28601,0.65119,0.67988,1.79551,0.00070278,0.00070278,0.00070278
3,87.1293,1.12976,4.16229,0.62148,0.64791,1.60228,0.87779,0.79812,0.89617,0.54568,0.24135,0.1,0.06994,0.03033,1.12701,5.55577,0.67427,0.89803,1.79576,0.00094636,0.00094636,0.00094636
4,108.483,1.08014,3.90318,0.52741,0.61161,1.50576,0.86012,0.75156,0.83371,0.51066,0.29728,0.25556,0.1525,0.02446,1.18161,4.37443,0.42244,1.05604,1.88308,0.00111074,0.00111074,0.00111074
5,129.262,1.1073,3.69738,0.42748,0.63056,1.52998,0.88377,0.83333,0.92451,0.59662,0.7225,0.66539,0.64454,0.20178,1.12262,3.23065,0.27305,1.07505,1.80068,0.00119592,0.00119592,0.00119592
6,149.774,1.06127,3.42055,0.36775,0.57099,1.48317,0.93419,0.87778,0.95644,0.64224,0.76019,0.7,0.67684,0.19652,1.13328,3.40917,0.27831,0.80314,1.62852,0.00101,0.00101,0.00101
7,170.87,1.02211,3.2105,0.31175,0.55286,1.46749,0.93019,0.96667,0.9779,0.68519,0.74745,0.77778,0.68134,0.15172,0.99866,3.15171,0.16522,0.5799,1.50082,0.000812,0.000812,0.000812
8,191.955,0.98446,3.03269,0.29607,0.51915,1.4023,0.92532,0.94444,0.97652,0.70019,0.73993,0.75556,0.6898,0.14491,0.98972,3.08774,0.20592,0.62192,1.49653,0.000614,0.000614,0.000614
9,213.656,0.96281,2.89791,0.26968,0.50713,1.37428,0.95638,0.95556,0.97927,0.7068,0.82596,0.73826,0.76673,0.23084,0.95687,2.86732,0.2058,0.51558,1.44735,0.000416,0.000416,0.000416
10,234.083,0.89114,2.75072,0.27659,0.44669,1.34818,0.95549,0.97778,0.98132,0.70933,0.81364,0.83333,0.81595,0.24598,0.92157,2.75803,0.1906,0.4429,1.3847,0.000218,0.000218,0.000218
